method,target_rr,split,stage,call_kind,call_kind_name,refresh_count,opportunities,density,refresh_share
lpips_oracle,0.4,all,middle,0,predictor,11.0,5120.0,0.0021484375,0.001116751269035533
lpips_oracle,0.4,all,middle,1,corrector,3295.0,5120.0,0.6435546875,0.33451776649746195
lpips_oracle,0.4,all,late,0,predictor,290.0,3840.0,0.07552083333333333,0.029441624365482234
lpips_oracle,0.4,all,late,1,corrector,1497.0,3584.0,0.41768973214285715,0.15197969543147208
lpips_oracle,0.5,calibration,early,0,predictor,288.0,960.0,0.3,0.09090909090909091
lpips_oracle,0.5,calibration,early,1,corrector,960.0,960.0,1.0,0.30303030303030304
lpips_oracle,0.5,calibration,middle,0,predictor,0.0,1280.0,0.0,0.0
lpips_oracle,0.5,calibration,middle,1,corrector,1172.0,1280.0,0.915625,0.369949494949495
lpips_oracle,0.5,calibration,late,0,predictor,79.0,960.0,0.08229166666666667,0.024936868686868688
lpips_oracle,0.5,calibration,late,1,corrector,669.0,896.0,0.7466517857142857,0.21117424242424243
lpips_oracle,0.5,test,early,0,predictor,926.0,2880.0,0.3215277777777778,0.0993349066723879
lpips_oracle,0.5,test,early,1,corrector,2879.0,2880.0,0.9996527777777777,0.3088393048701995
lpips_oracle,0.5,test,middle,0,predictor,10.0,3840.0,0.0026041666666666665,0.001072731173567904
lpips_oracle,0.5,test,middle,1,corrector,3317.0,3840.0,0.8638020833333333,0.3558249302724737
lpips_oracle,0.5,test,late,0,predictor,216.0,2880.0,0.075,0.023170993349066724
lpips_oracle,0.5,test,late,1,corrector,1974.0,2688.0,0.734375,0.21175713366230423
lpips_oracle,0.5,all,early,0,predictor,1214.0,3840.0,0.31614583333333335,0.09719775820656525
lpips_oracle,0.5,all,early,1,corrector,3839.0,3840.0,0.9997395833333333,0.30736589271417136
lpips_oracle,0.5,all,middle,0,predictor,10.0,5120.0,0.001953125,0.0008006405124099279
lpips_oracle,0.5,all,middle,1,corrector,4489.0,5120.0,0.8767578125,0.35940752602081666
lpips_oracle,0.5,all,late,0,predictor,295.0,3840.0,0.07682291666666667,0.023618895116092876
lpips_oracle,0.5,all,late,1,corrector,2643.0,3584.0,0.7374441964285714,0.21160928742994395
pma_nogate_oracle,0.3,calibration,early,0,predictor,202.0,960.0,0.21041666666666667,0.10625986322987901
pma_nogate_oracle,0.3,calibration,early,1,corrector,889.0,960.0,0.9260416666666667,0.46764860599684377
pma_nogate_oracle,0.3,calibration,middle,0,predictor,2.0,1280.0,0.0015625,0.0010520778537611783
pma_nogate_oracle,0.3,calibration,middle,1,corrector,496.0,1280.0,0.3875,0.2609153077327722
pma_nogate_oracle,0.3,calibration,late,0,predictor,68.0,960.0,0.07083333333333333,0.03577064702788006
pma_nogate_oracle,0.3,calibration,late,1,corrector,244.0,896.0,0.27232142857142855,0.12835349815886377
pma_nogate_oracle,0.3,test,early,0,predictor,612.0,2880.0,0.2125,0.10808901448251501
