window_id,stage,start_call,end_call,window_len,valid_count,mean_lpips,median_lpips,q90_lpips,q95_lpips,max_lpips,mean_dino,median_dino,q90_dino,q95_dino,max_dino,mean_psnr,q05_psnr,mean_ssim,q05_ssim,failure_rate_lpips_gt_0p001,failure_rate_lpips_gt_0p005,failure_rate_lpips_gt_0p01,failure_rate_lpips_gt_0p02,failure_rate_dino_gt_0p001,failure_rate_dino_gt_0p005,failure_rate_dino_gt_0p01,failure_rate_dino_gt_0p02,status
23,transition,14,15,2,8,0.0014804365582676837,0.00021639229089487344,0.0033792729751439747,0.006889547094760922,0.01039982121437788,0.0024773627519607544,0.00015488266944885254,0.005850976705551144,0.012400421500205983,0.01894986629486084,57.150747776031494,49.222592163085935,0.9996013566851616,0.998187804222107,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0,borderline
24,transition,14,17,4,8,0.01024212256015744,0.001852422021329403,0.02305076112970709,0.04551356579177078,0.06797637045383453,0.02320236712694168,0.0014020204544067383,0.054885220527648895,0.11641833782196036,0.17795145511627197,47.164470195770264,40.06175365447998,0.9969825893640518,0.9869652688503265,0.875,0.125,0.125,0.125,0.625,0.125,0.125,0.125,dangerous
25,mid,16,17,2,8,0.0004940311155223753,0.00018614823056850582,0.0013463911949656902,0.001667569408891722,0.0019887476228177547,0.0004108250141143799,6.070733070373535e-05,0.0010365903377532956,0.0017180770635604847,0.0023995637893676758,58.72756290435791,53.0460922241211,0.9998701512813568,0.999562007188797,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,safe
26,mid,16,19,4,8,0.011135398213809822,0.0016218794044107199,0.027029522787779557,0.05060485056601461,0.07418017834424973,0.01855037361383438,0.0005267858505249023,0.044461768865585304,0.09315278232097618,0.1418437957763672,48.22671890258789,40.10733871459961,0.9964631274342537,0.9837511062622071,0.5,0.25,0.125,0.125,0.375,0.125,0.125,0.125,dangerous
27,mid,16,23,8,8,0.02724487625528127,0.010279499227181077,0.06366473510861395,0.10092213042080397,0.13817952573299408,0.029356054961681366,0.004057466983795166,0.06805522441864009,0.13588813543319692,0.2037210464477539,40.13849687576294,34.55515956878662,0.9907686710357666,0.9670140713453292,1.0,0.75,0.5,0.25,0.875,0.375,0.125,0.125,dangerous
28,mid,16,27,12,8,0.0417392891831696,0.019403910264372826,0.08966577313840388,0.12225006651133294,0.15483435988426208,0.03583291172981262,0.00960204005241394,0.08033652901649471,0.14732677638530722,0.21431702375411987,36.095473766326904,31.948284912109376,0.9843224585056305,0.959836459159851,1.0,1.0,1.0,0.375,1.0,0.75,0.5,0.25,dangerous
29,mid,16,31,16,8,0.0569114179816097,0.03242119215428829,0.10060561522841452,0.1351053904742002,0.16960516571998596,0.04546026885509491,0.018397092819213867,0.10858857631683347,0.16570624709129325,0.22282391786575317,33.700233936309814,30.04307746887207,0.9765436872839928,0.9510621160268784,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.375,dangerous
30,mid,20,21,2,8,0.00012778794166479202,5.8351841289550066e-05,0.0002856834311387501,0.00045473789141396964,0.0006237923516891897,0.00013799220323562622,2.524256706237793e-05,0.00033730864524841294,0.0006138712167739863,0.0008904337882995605,63.46221208572388,56.81235809326172,0.9999515563249588,0.9998232454061509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
31,mid,20,23,4,8,0.009090958150409278,0.0004392699629534036,0.021600674104411143,0.04545175806269977,0.06930284202098846,0.013288863003253937,0.0001856386661529541,0.03197427988052366,0.06824885010719293,0.1045234203338623,52.45013999938965,41.579688453674315,0.9968291670084,0.9842157959938049,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,dangerous
32,mid,20,27,8,8,0.013570723094744608,0.003121744841337204,0.030781735386699424,0.05743101458065208,0.0840802937746048,0.015825316309928894,0.0014410316944122314,0.03843982815742491,0.07636962234973901,0.11429941654205322,44.19129419326782,37.32809677124023,0.9949688985943794,0.9796251147985459,1.0,0.25,0.125,0.125,0.625,0.25,0.125,0.125,dangerous
33,mid,24,25,2,8,9.795691670433371e-05,3.0079887437750585e-05,0.00021818132372573008,0.0004089817113708702,0.0005997820990160108,0.00013165920972824097,9.655952453613281e-06,0.00032190084457397447,0.0006377875804901118,0.00095367431640625,66.71814489364624,58.82315883636475,0.9999614730477333,0.9998370319604873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
34,mid,24,27,4,8,0.008865071941727365,0.00029280668968567625,0.02110218945890664,0.04500736268237229,0.06891253590583801,0.013515770435333252,0.0001049339771270752,0.03251444697380064,0.06980174481868738,0.10708904266357422,55.089622020721436,42.95030879974365,0.9968576058745384,0.9840747207403183,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,dangerous
35,mid,24,31,8,8,0.012176626973086968,0.0022456779843196273,0.028110524686053382,0.05443014113698151,0.0807497575879097,0.015325047075748444,0.000954747200012207,0.037324845790863016,0.07573923468589777,0.11415362358093262,46.384822368621826,38.86256904602051,0.9954872652888298,0.9803007125854493,0.75,0.25,0.125,0.125,0.375,0.125,0.125,0.125,dangerous
36,mid,32,33,2,8,5.9538749553667e-05,1.6901494291232666e-05,0.0001341603365290211,0.00022265443203650634,0.0003111485275439918,7.421523332595825e-05,5.155801773071289e-06,0.0001899421215057372,0.0003551453351974485,0.0005203485488891602,68.92981624603271,62.43279685974121,0.9999803155660629,0.9999202489852905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
37,mid,32,35,4,8,0.008575386305892607,0.00019249463366577402,0.020544760895427304,0.04360234040650536,0.06665991991758347,0.013416893780231476,5.5402517318725586e-05,0.032301461696624734,0.06945355534553521,0.1066056489944458,56.88839864730835,44.654233360290526,0.9970065876841545,0.9846910864114762,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,dangerous
38,mid,32,39,8,8,0.011730241465556901,0.00204880244564265,0.026595812290906892,0.05275106243789192,0.07890631258487701,0.015363611280918121,0.00038698315620422363,0.037372922897338845,0.07728688716888421,0.11720085144042969,47.96270132064819,40.3920015335083,0.9958227276802063,0.9808086901903152,0.75,0.125,0.125,0.125,0.25,0.125,0.125,0.125,dangerous
39,mid,32,43,12,8,0.017237934691365808,0.006986137945204973,0.035874331463128316,0.06318345018662508,0.09049256891012192,0.018711276352405548,0.0013940930366516113,0.04512522816658018,0.08809473216533655,0.13106423616409302,42.996387004852295,37.772769165039065,0.9939143508672714,0.9774580419063568,1.0,0.75,0.375,0.125,0.875,0.25,0.125,0.125,dangerous
40,mid,40,41,2,8,1.7098096577683464e-05,1.585548852744978e-05,2.6273191542713897e-05,3.398468816158128e-05,4.1696184780448675e-05,1.4193356037139893e-05,3.4570693969726562e-06,3.240704536437987e-05,5.0744414329528776e-05,6.908178329467773e-05,71.61297988891602,68.83891830444335,0.9999947920441628,0.9999891340732574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
41,mid,40,43,4,8,0.0002079021360259503,0.00019405049533816054,0.0003165705216815695,0.0004052085030707529,0.0004938464844599366,0.0001622810959815979,4.184246063232422e-05,0.00036936402320861803,0.0005786687135696408,0.0007879734039306641,60.79034900665283,58.068029975891115,0.9999371990561485,0.9998687982559205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
42,mid,40,47,8,8,0.01029806488804752,0.002238282817415893,0.022502854489721346,0.04560289160581302,0.06870292872190475,0.014140695333480835,0.0005391836166381836,0.03365588784217832,0.07076031267642968,0.10786473751068115,48.45661783218384,41.130617713928224,0.9964084550738335,0.9844836950302124,0.875,0.125,0.125,0.125,0.375,0.125,0.125,0.125,dangerous
43,mid,40,55,16,8,0.02555375441443175,0.018604110926389694,0.044501317664980874,0.06532241310924289,0.08614350855350494,0.02016700804233551,0.00596049427986145,0.04453446865081785,0.08280445337295526,0.12107443809509277,39.92268943786621,36.33494052886963,0.989811934530735,0.9783522695302963,1.0,0.875,0.875,0.5,0.875,0.625,0.375,0.125,dangerous
44,mid,50,51,2,8,9.561164631577412e-06,8.478975814796286e-06,1.4588172052754088e-05,1.745940098771825e-05,2.033062992268242e-05,4.626810550689697e-06,2.5331974029541016e-06,1.0079145431518554e-05,1.022517681121826e-05,1.0371208190917969e-05,74.02625942230225,70.66839141845703,0.9999970868229866,0.9999950170516968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
45,mid,50,53,4,8,0.00011235251622565556,0.00011120492854388431,0.0001627995996386744,0.00018737277641776013,0.00021194595319684595,5.2168965339660645e-05,2.9653310775756836e-05,0.00011158585548400878,0.00011444389820098877,0.00011730194091796875,63.16555881500244,59.79963550567627,0.9999630376696587,0.9999423116445542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
46,mid,50,57,8,8,0.0011400162729842123,0.0012081788154318929,0.0015984844416379927,0.0016904102987609802,0.0017823361558839679,0.0005034729838371277,0.0003402829170227051,0.0010711848735809326,0.0011163502931594849,0.0011615157127380371,52.865492820739746,49.46600341796875,0.9995956942439079,0.9994075566530227,0.625,0.0,0.0,0.0,0.25,0.0,0.0,0.0,safe
